date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:49:31	3552/3552	---M--	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/chart.js/dist/Chart.extension.js	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/chart.js/dist/Chart.extension.js	(from https://boomchart.net/kingsmen/admin)
23:49:33	57362/57362	---M--	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/jvectormap-next/jquery-jvectormap.min.js	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/jvectormap-next/jquery-jvectormap.min.js	(from https://boomchart.net/kingsmen/admin)
23:49:35	104263/104263	---M--	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/js/vendor/jvectormap/jquery-jvectormap-world-mill.js	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/js/vendor/jvectormap/jquery-jvectormap-world-mill.js	(from https://boomchart.net/kingsmen/admin)
23:49:36	82411/82411	---M--	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/datatables.net/js/jquery.dataTables.min.js	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/datatables.net/js/jquery.dataTables.min.js	(from https://boomchart.net/kingsmen/admin)
23:49:38	2085/2085	---M--	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/datatables.net-bs4/js/dataTables.bootstrap4.min.js	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/datatables.net-bs4/js/dataTables.bootstrap4.min.js	(from https://boomchart.net/kingsmen/admin)
23:49:39	19185/19185	---M--	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/datatables.net-buttons/js/dataTables.buttons.min.js	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/datatables.net-buttons/js/dataTables.buttons.min.js	(from https://boomchart.net/kingsmen/admin)
23:49:41	1054/1054	---M--	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/datatables.net-buttons-bs4/js/buttons.bootstrap4.min.js	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/datatables.net-buttons-bs4/js/buttons.bootstrap4.min.js	(from https://boomchart.net/kingsmen/admin)
23:49:42	24531/24531	---M--	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/datatables.net-buttons/js/buttons.html5.min.js	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/datatables.net-buttons/js/buttons.html5.min.js	(from https://boomchart.net/kingsmen/admin)
23:49:44	26039/26039	---M--	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/datatables.net-buttons/js/buttons.flash.min.js	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/datatables.net-buttons/js/buttons.flash.min.js	(from https://boomchart.net/kingsmen/admin)
23:49:46	2212/2212	---M--	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/datatables.net-buttons/js/buttons.print.min.js	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/datatables.net-buttons/js/buttons.print.min.js	(from https://boomchart.net/kingsmen/admin)
