date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:21:22	14820/14820	---M--	200	added ('OK')	application/javascript	date:Tue,%2016%20Jun%202020%2002:04:04%20GMT	https://boomchart.net/flutter/asset/js/hs.slick-carousel.js	C:/Users/FUNDZ2/Desktop/NEW%20SITE/boomchart.net/flutter/asset/js/hs.slick-carousel.js	(from https://boomchart.net/flutter/login)
12:21:23	5536/5536	---M--	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2007:23:29%20GMT	https://boomchart.net/flutter/asset/js/toast.js	C:/Users/FUNDZ2/Desktop/NEW%20SITE/boomchart.net/flutter/asset/js/toast.js	(from https://boomchart.net/flutter/login)
12:21:25	9425/9425	---M--	200	added ('OK')	application/javascript	date:Tue,%2016%20Jun%202020%2002:04:06%20GMT	https://boomchart.net/flutter/asset/vendor/polifills.js	C:/Users/FUNDZ2/Desktop/NEW%20SITE/boomchart.net/flutter/asset/vendor/polifills.js	(from https://boomchart.net/flutter/login)
12:21:26	6609/6609	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2020%20May%202021%2018:21:29%20GMT	https://boomchart.net/flutter/asset/fonts/boing/boing_semibold_web.eot	C:/Users/FUNDZ2/Desktop/NEW%20SITE/boomchart.net/flutter/asset/fonts/boing/boing_semibold_web.15.delayed	(from https://boomchart.net/flutter/asset/css/theme.css)
12:21:29	90040/90040	---M--	200	added ('OK')	font/woff	date:Thu,%2009%20Apr%202020%2008:03:12%20GMT	https://boomchart.net/flutter/asset/fonts/boing/boing_semibold_web.woff	C:/Users/FUNDZ2/Desktop/NEW%20SITE/boomchart.net/flutter/asset/fonts/boing/boing_semibold_web.woff	(from https://boomchart.net/flutter/asset/css/theme.css)
12:21:29	6609/6609	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2020%20May%202021%2018:21:32%20GMT	https://boomchart.net/flutter/asset/fonts/boing/boing_semibold_web.ttf	C:/Users/FUNDZ2/Desktop/NEW%20SITE/boomchart.net/flutter/asset/fonts/boing/boing_semibold_web.17.delayed	(from https://boomchart.net/flutter/asset/css/theme.css)
12:21:32	6609/6609	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2020%20May%202021%2018:21:35%20GMT	https://boomchart.net/flutter/asset/fonts/boing/boing_semibold_web.eot?	C:/Users/FUNDZ2/Desktop/NEW%20SITE/boomchart.net/flutter/asset/fonts/boing/boing_semibold_web.18d41d.delayed	(from https://boomchart.net/flutter/asset/css/theme.css)
12:21:35	6609/6609	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2020%20May%202021%2018:21:38%20GMT	https://boomchart.net/flutter/asset/fonts/boing/boing_semibold_web.svg	C:/Users/FUNDZ2/Desktop/NEW%20SITE/boomchart.net/flutter/asset/fonts/boing/boing_semibold_web.19.delayed	(from https://boomchart.net/flutter/asset/css/theme.css)
12:21:36	6609/6609	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2020%20May%202021%2018:21:39%20GMT	https://boomchart.net/flutter/asset/fonts/graphik/graphik_light.eot	C:/Users/FUNDZ2/Desktop/NEW%20SITE/boomchart.net/flutter/asset/fonts/graphik/graphik_light.1a.delayed	(from https://boomchart.net/flutter/asset/css/theme.css)
12:21:38	6609/6609	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2020%20May%202021%2018:21:41%20GMT	https://boomchart.net/flutter/asset/fonts/graphik/graphik_light.ttf	C:/Users/FUNDZ2/Desktop/NEW%20SITE/boomchart.net/flutter/asset/fonts/graphik/graphik_light.1b.delayed	(from https://boomchart.net/flutter/asset/css/theme.css)
